seed,position,intensity,initial_ovr,peak_ovr,final_ovr,ovr_ceiling,seasons_played,retired_age,career_goals,career_matches,league_titles,poty_wins,best_season_avg_output,sporting_rep,club_fan_rep,rival_crystallised,marketability,discipline_rep,career_output_sum,decisive_moments,clubs_served,longest_club_tenure,winning,accolades,output,longevity,decisive,loyalty,icon,head_to_head,score_Trophy Cabinet,score_Eye-Test Romantics,score_Stats Purists,score_Loyalty Traditionalists
700046,Forward,Low,64,82,80,93,20,39,208,569,4,0,52,50,70,False,50,50,15986,0,1,20,80,20,40,100,0,100,50,50,50,33,54,70
700047,Forward,Medium,64,89,87,95,20,39,188,569,1,0,52,50,70,False,50,50,15708,0,1,20,20,5,39,100,0,100,50,50,26,23,45,59
700040,Forward,High,64,90,88,92,20,39,173,574,0,0,49,50,70,False,50,50,14537,0,1,20,0,0,37,100,0,100,50,50,18,20,42,56
700041,Midfielder,Low,64,82,80,94,20,39,38,573,7,0,49,50,70,False,50,50,14246,0,1,20,100,35,36,100,0,100,50,50,58,37,57,74
700042,Midfielder,Medium,64,87,81,94,20,39,24,571,2,0,50,50,70,False,50,50,15553,0,1,20,40,10,38,100,0,100,50,50,34,26,48,63
700043,Midfielder,High,64,90,88,94,20,39,29,571,5,0,50,50,70,False,50,50,15655,0,1,20,100,25,38,100,0,100,50,50,57,35,56,73
700052,Defender,Low,64,80,76,92,20,39,62,570,6,0,48,50,70,False,50,50,14775,0,1,20,100,30,36,100,0,100,50,50,58,36,56,74
700053,Defender,Medium,64,88,85,96,20,39,55,571,3,0,48,50,70,False,50,50,14882,0,1,20,60,15,37,100,0,100,50,50,41,29,50,66
700054,Defender,High,64,90,87,94,20,39,53,572,2,0,49,50,70,False,50,50,15191,0,1,20,40,10,37,100,0,100,50,50,34,26,47,63
700055,Forward,Low,63,83,81,95,20,39,161,572,3,0,49,50,70,False,50,50,15461,0,1,20,60,15,38,100,0,100,50,50,42,29,50,66
700048,Forward,Medium,64,87,85,93,20,39,180,566,1,0,47,50,70,False,50,50,12285,0,1,20,20,5,34,100,0,100,50,50,26,23,43,59
700049,Forward,High,64,92,90,95,20,39,205,564,3,0,47,50,70,False,50,50,12135,0,1,20,60,15,34,100,0,100,50,50,41,29,49,66
700050,Midfielder,Low,64,84,76,96,20,39,23,579,1,0,49,50,70,False,50,50,17152,0,1,20,20,5,39,100,0,100,50,50,26,23,45,59
700051,Midfielder,Medium,64,86,83,93,20,39,35,578,4,0,50,50,70,False,50,50,16998,0,1,20,80,20,39,100,0,100,50,50,49,32,54,70
700060,Midfielder,High,64,90,86,93,20,39,33,583,4,0,51,50,70,False,50,50,19238,0,1,20,80,20,41,100,0,100,50,50,50,33,54,70
700061,Defender,Low,64,81,78,94,20,39,64,584,3,0,50,50,70,False,50,50,18679,0,1,20,60,15,40,100,0,100,50,50,42,30,51,67
